"Börsdata ID","Bolagsnamn","Kursutveck. - Utveck.  1d","Kursutveck. - Rapportdagen","Kursutveck. - Efter rapport","Sen. Rapport - Antal Dagar","Info - Sen. Rapport","Info - Rapport","Vinsttillväxt - Y-Y Tillväxt","Vinsttillväxt - År. tillv. 1år","Omsätt. tillv. - Y-Y Tillväxt","Omsätt. tillv. - År. tillv. 1år","Vinstmarg - Senaste","P/E - Senaste","P/S - Senaste","Info - Tid","Info - Aktiekurs","Info - Bransch"
"240","XANO Industri","3,3%","3,3%","3,3%","1","2026-07-09","Q2-2026","-2,7%","14,6%","2,8%","0,1%","5,0%","17,6","0,9","18:00:00","2026-07-09","Industrikomponenter"
"395","Ages Industri","10,7%","10,7%","10,7%","1","2026-07-09","Q2-2026","-25,1%","110,1%","-2,1%","-18,0%","1,8%","24,4","0,4","18:00:00","2026-07-09","Industrikomponenter"
"1078","Plejd","-12,8%","-12,8%","-12,8%","1","2026-07-09","Q2-2026","27,7%","58,0%","30,3%","37,8%","21,2%","45,1","9,6","18:00:00","2026-07-09","Elektroniska komponenter"
"558","NFO Drives","-3,4%","13,6%","6,1%","7","2026-07-03","Q2-2026","73,7%","52,8%","-30,9%","-52,6%","-25,0%","-5,6","1,4","18:00:00","2026-07-09","Energi & Återvinning"
"2517","Sibek","-0,4%","-3,8%","1,2%","29","2026-06-11","Q4-2026","101,4%","19,0%","6,5%","14,1%","13,7%","21,6","3,0","18:00:00","2026-07-09","Affärskonsulter"
"2388","Xer Tech","3,4%","-3,1%","14,5%","35","2026-06-05","Q1-2026","-691,1%","75,3%","3602,7%","1455,7%","-540,4%","-7,1","38,4","18:00:00","2026-07-09","Mätning & Analys"
"929","Zenergy","3,5%","-8,2%","-50,0%","42","2026-05-29","Q1-2026","72,4%","63,9%","-43,0%","-36,7%","-173,6%","-0,2","0,4","18:00:00","2026-07-09","Bostadsbyggnation"
"1411","Aerowash","-0,5%","-12,4%","-38,5%","42","2026-05-29","Q1-2026","99,4%","66,0%","-6,4%","-34,6%","-17,3%","-7,3","1,3","18:00:00","2026-07-09","Stödtjänster & Service"
"2554","Qben Infra","1,0%","-4,0%","-20,4%","42","2026-05-29","Q1-2026",,,,,"-28,7%","-2,1","0,6","18:00:00","2026-07-09","Byggnation & Infrastruktur"
"491","Recyctec","-3,0%","26,7%","-7,2%","43","2026-05-28","Q1-2026","97,6%","96,9%","-2,9%","-13,2%","-37,9%","-1,7","0,6","18:00:00","2026-07-09","Energi & Återvinning"
"784","Insplorion","0,0%","-3,8%","-21,3%","46","2026-05-25","Q1-2026","53,7%","12,0%","-43,7%","6,3%","-1716,6%","-0,3","5,1","17:29:00","2026-07-09","Mätning & Analys"
"343","Ogunsen","0,8%","-3,8%","-12,4%","49","2026-05-22","Q1-2026","63,0%","2,8%","-1,8%","-2,6%","3,6%","17,1","0,6","18:00:00","2026-07-09","Bemanning"
"1079","Lightning Group","0,0%","29,7%","59,5%","49","2026-05-22","Q1-2026","41,0%","60,8%","38,7%","34,0%","-7,3%","-7,9","0,6","18:00:00","2026-07-09","Elektroniska komponenter"
"2481","ABAS Protect","0,0%","9,8%","-5,2%","49","2026-05-22","Q1-2026","-63,9%","-577,1%","-7,9%","-11,1%","-4,1%","-14,2","0,6","17:29:00","2026-07-09","Installation & VVS"
"43","BTS Group","1,4%","18,0%","7,5%","50","2026-05-21","Q1-2026","6,8%","-62,3%","-7,0%","-6,1%","5,1%","24,7","1,3","18:00:00","2026-07-09","Affärskonsulter"
"357","Wise Group","5,6%","-2,4%","-15,9%","50","2026-05-21","Q1-2026","-67,9%","29,5%","-16,7%","-20,4%","-3,4%","-7,4","0,2","18:00:00","2026-07-09","Bemanning"
"419","Scandinavian Enviro","8,9%","-4,8%","5,2%","50","2026-05-21","Q1-2026","-153,4%","-55142,9%","-0,2%","-73,8%","-1344,5%","-0,5","6,9","18:00:00","2026-07-09","Energi & Återvinning"
"914","Photocat","9,1%","115,1%","39,5%","50","2026-05-21","Q1-2026",,,,,"11,6%","11,0","1,3","18:00:00","2026-07-09","Installation & VVS"
"1564","Tempest Security","0,9%","5,6%","1,9%","50","2026-05-21","Q1-2026","149,5%","88,4%","10,9%","15,6%","-1,1%","-17,6","0,2","18:00:00","2026-07-09","Säkerhet"
"2046","Fasadgruppen","0,7%","1,4%","-10,7%","50","2026-05-21","Q1-2026","-1000,0%","-3160,0%","-15,2%","4,2%","-3,1%","-6,2","0,2","18:00:00","2026-07-09","Byggmaterial"
"2148","Cedergrenska","0,8%","5,3%","12,4%","50","2026-05-21","Q3-2026","8,5%","151,6%","14,1%","42,8%","2,2%","17,9","0,4","18:00:00","2026-07-09","Utbildning"
"289","Kakel Max","0,9%","-6,9%","-6,0%","51","2026-05-20","Q1-2026","9,0%","77,1%","8,8%","19,9%","-0,8%","-24,1","0,2","18:00:00","2026-07-09","Byggmaterial"
"1663","Veteranpoolen","2,7%","2,5%","2,2%","51","2026-05-20","Q1-2026","77,4%","31,1%","13,7%","16,2%","9,0%","21,4","1,9","18:00:00","2026-07-09","Bemanning"
"2559","KB Components","-3,5%","-15,2%","-16,1%","51","2026-05-20","Q1-2026","-49,6%","-32,3%","-12,5%","-5,4%","2,7%","30,0","0,8","18:00:00","2026-07-09","Industrikomponenter"
"2613","APR Technologies","4,9%","9,5%","13,2%","51","2026-05-20","Q1-2026",,,,,"-128,2%","-23,7","28,2","18:00:00","2026-07-09","Elektroniska komponenter"
"582","Grangex","1,7%","-8,5%","-33,8%","52","2026-05-19","Q1-2026","-540,2%","-1,0%","-33,9%","13,5%","-727,0%","-3,9","28,0","18:00:00","2026-07-09","Energi & Återvinning"
"1392","Finepart","-6,2%","0,4%","-6,2%","52","2026-05-19","Q1-2026","99,3%","97,1%","170,0%","47,7%","-7,8%","-12,6","1,0","18:00:00","2026-07-09","Industrimaskiner"
"1395","Aino Health","0,0%","16,9%","54,8%","56","2026-05-15","Q1-2026","-300,0%","-3,3%","-25,0%","-4,2%","-32,0%","-5,1","1,6","18:00:00","2026-07-09","Stödtjänster & Service"
"26","Bergman & Beving","1,0%","-1,0%","3,3%","58","2026-05-13","Q4-2026","45,8%","6,0%","-3,2%","0,0%","4,6%","34,7","1,6","18:00:00","2026-07-09","Industrikomponenter"
"387","Cell Impact","0,3%","-25,1%","-68,6%","58","2026-05-13","Q1-2026","83,8%","81,3%","12,3%","-82,6%","-2219,1%","-0,3","5,9","18:00:00","2026-07-09","Industrimaskiner"
"498","EcoRub","1,7%","-2,6%","-20,8%","58","2026-05-13","Q1-2026","-1,8%","3,7%","-26,6%","-11,0%","-104,4%","-2,6","2,7","18:00:00","2026-07-09","Energi & Återvinning"
"907","Vimab Group","2,3%","3,4%","-6,2%","58","2026-05-13","Q1-2026","64,4%","48,2%","22,3%","4,5%","-28,4%","-1,4","0,4","18:00:00","2026-07-09","Affärskonsulter"
